Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Dominic,tvui,profilesGate,,,2022-06-14 04:48:36
Dominic,tvui,profilesGate,,,2022-06-13 01:43:57
Dominic,tvui,browseTitles,,,2022-06-13 01:43:57
Dominic,tvui,movieDetails,,,2022-06-13 01:13:44
Dominic,tvui,browseTitles,,,2022-06-13 01:13:44
Dominic,tvui,playback,,,2022-06-13 01:11:59
Dominic,tvui,movieDetails,,,2022-06-13 01:11:59
Dominic,tvui,playback,,,2022-06-13 01:11:53
Dominic,tvui,postPlay,,,2022-06-13 01:11:53
Dominic,tvui,playback,,,2022-06-13 01:11:49
Dominic,tvui,postPlay,,,2022-06-13 01:11:49
Dominic,tvui,playback,,,2022-06-12 23:31:58
Dominic,tvui,movieDetails,,,2022-06-12 23:31:58
Dominic,tvui,browseTitles,,,2022-06-12 23:31:56
Dominic,tvui,movieDetails,,,2022-06-12 23:31:56
Dominic,tvui,profilesGate,,,2022-06-12 23:27:36
Dominic,tvui,browseTitles,,,2022-06-12 23:27:36
Dominic,tvui,profilesGate,,,2022-06-12 23:27:14
Dominic,tvui,movieDetails,,,2022-06-12 01:07:21
Dominic,tvui,playback,,,2022-06-12 01:07:21
Dominic,tvui,movieDetails,,,2022-06-12 00:56:35
Dominic,tvui,playback,,,2022-06-12 00:56:35
Dominic,tvui,movieDetails,,,2022-06-12 00:56:32
Dominic,tvui,browseTitles,,,2022-06-12 00:56:32
Dominic,tvui,movieDetails,,,2022-06-12 00:54:57
Dominic,tvui,browseTitles,,,2022-06-12 00:54:57
Dominic,tvui,postPlay,,,2022-06-12 00:54:50
Dominic,tvui,movieDetails,,,2022-06-12 00:54:50
Dominic,tvui,playback,,,2022-06-12 00:54:48
Dominic,tvui,postPlay,,,2022-06-12 00:54:48
Dominic,tvui,postPlay,,,2022-06-12 00:10:45
Dominic,tvui,playback,,,2022-06-12 00:10:45
Dominic,tvui,playback,,,2022-06-12 00:10:40
Dominic,tvui,postPlay,,,2022-06-12 00:10:40
Dominic,tvui,movieDetails,,,2022-06-11 23:58:36
Dominic,tvui,playback,,,2022-06-11 23:58:36
Dominic,tvui,browseTitles,,,2022-06-11 23:58:33
Dominic,tvui,movieDetails,,,2022-06-11 23:58:33
Dominic,tvui,profilesGate,,,2022-06-11 23:58:29
Dominic,tvui,browseTitles,,,2022-06-11 23:58:29
Dominic,tvui,movieDetails,,,2022-06-11 23:21:58
Dominic,tvui,profilesGate,,,2022-06-11 23:21:58
Dominic,tvui,playback,,,2022-06-11 22:51:44
Dominic,tvui,movieDetails,,,2022-06-11 22:51:44
Dominic,tvui,postPlay,,,2022-06-11 21:37:45
Dominic,tvui,playback,,,2022-06-11 21:37:45
Dominic,tvui,postPlay,,,2022-06-11 21:37:39
Dominic,tvui,playback,,,2022-06-11 21:37:39
Dominic,tvui,postPlay,,,2022-06-11 20:46:56
Dominic,tvui,playback,,,2022-06-11 20:46:56
Dominic,tvui,playback,,,2022-06-11 20:46:50
Dominic,tvui,postPlay,,,2022-06-11 20:46:50
Dominic,tvui,movieDetails,,,2022-06-11 20:01:16
Dominic,tvui,playback,,,2022-06-11 20:01:16
Dominic,tvui,browseTitles,,,2022-06-11 20:01:15
Dominic,tvui,movieDetails,,,2022-06-11 20:01:15
Dominic,tvui,browseTitles,,,2022-06-11 19:58:34
Dominic,tvui,movieDetails,,,2022-06-11 19:58:34
Dominic,tvui,postPlay,,,2022-06-11 19:58:23
Dominic,tvui,movieDetails,,,2022-06-11 19:58:23
Dominic,tvui,playback,,,2022-06-11 19:58:15
Dominic,tvui,postPlay,,,2022-06-11 19:58:15
Dominic,tvui,playback,,,2022-06-11 18:08:20
Dominic,tvui,movieDetails,,,2022-06-11 18:08:20
Dominic,tvui,browseTitles,,,2022-06-11 18:08:18
Dominic,tvui,movieDetails,,,2022-06-11 18:08:18
Dominic,tvui,browseTitles,,,2022-06-11 18:07:40
Dominic,tvui,profilesGate,,,2022-06-11 18:07:40
Dominic,tvui,movieDetails,,,2022-06-08 03:43:13
Dominic,tvui,profilesGate,,,2022-06-08 03:43:13
Dominic,tvui,movieDetails,,,2022-06-08 03:12:42
Dominic,tvui,postPlay,,,2022-06-08 03:12:42
Dominic,tvui,playback,,,2022-06-08 03:12:29
Dominic,tvui,postPlay,,,2022-06-08 03:12:29
Dominic,tvui,movieDetails,,,2022-06-08 01:46:36
Dominic,tvui,playback,,,2022-06-08 01:46:36
Dominic,tvui,search,,,2022-06-08 01:46:33
Dominic,tvui,movieDetails,,,2022-06-08 01:46:33
Dominic,tvui,browseTitles,,,2022-06-08 01:46:25
Dominic,tvui,search,,,2022-06-08 01:46:25
Dominic,tvui,profilesGate,,,2022-06-08 01:46:21
Dominic,tvui,browseTitles,,,2022-06-08 01:46:21
Dominic,tvui,profilesGate,,,2022-06-06 07:55:04
Dominic,tvui,profilesGate,,,2022-06-04 01:48:14
Dominic,tvui,browseTitles,,,2022-06-03 06:50:47
Dominic,tvui,profilesGate,,,2022-06-03 06:50:47
Dominic,tvui,browseTitles,,,2022-06-03 06:20:45
Dominic,tvui,movieDetails,,,2022-06-03 06:20:45
Dominic,tvui,postPlay,,,2022-06-03 06:20:42
Dominic,tvui,movieDetails,,,2022-06-03 06:20:42
Dominic,tvui,postPlay,,,2022-06-03 06:20:41
Dominic,tvui,playback,,,2022-06-03 06:20:41
Dominic,tvui,movieDetails,,,2022-06-03 05:52:21
Dominic,tvui,playback,,,2022-06-03 05:52:21
Dominic,tvui,browseTitles,,,2022-06-03 05:52:19
Dominic,tvui,movieDetails,,,2022-06-03 05:52:19
Dominic,tvui,movieDetails,,,2022-06-03 05:52:18
Dominic,tvui,browseTitles,,,2022-06-03 05:52:18
Dominic,tvui,movieDetails,,,2022-06-03 05:52:16
Dominic,tvui,playback,,,2022-06-03 05:52:16
Dominic,tvui,episodesSelector,,,2022-06-03 05:52:08
Dominic,tvui,playback,,,2022-06-03 05:52:08
Dominic,tvui,movieDetails,,,2022-06-03 05:52:05
Dominic,tvui,episodesSelector,,,2022-06-03 05:52:05
Dominic,tvui,movieDetails,,,2022-06-03 05:52:02
Dominic,tvui,playback,,,2022-06-03 05:52:02
Dominic,tvui,movieDetails,,,2022-06-03 05:52:00
Dominic,tvui,playback,,,2022-06-03 05:52:00
Dominic,tvui,movieDetails,,,2022-06-03 05:51:57
Dominic,tvui,playback,,,2022-06-03 05:51:57
Dominic,tvui,postPlay,,,2022-06-03 05:51:42
Dominic,tvui,playback,,,2022-06-03 05:51:42
Dominic,tvui,playback,,,2022-06-03 05:51:39
Dominic,tvui,postPlay,,,2022-06-03 05:51:39
Dominic,tvui,playback,,,2022-06-03 05:25:00
Dominic,tvui,movieDetails,,,2022-06-03 05:25:00
Dominic,tvui,movieDetails,,,2022-06-03 05:24:59
Dominic,tvui,browseTitles,,,2022-06-03 05:24:59
Dominic,tvui,movieDetails,,,2022-06-03 05:24:33
Dominic,tvui,browseTitles,,,2022-06-03 05:24:33
Dominic,tvui,movieDetails,,,2022-06-03 05:24:30
Dominic,tvui,episodesSelector,,,2022-06-03 05:24:30
Dominic,tvui,movieDetails,,,2022-06-03 05:23:53
Dominic,tvui,episodesSelector,,,2022-06-03 05:23:53
Dominic,tvui,movieDetails,,,2022-06-03 05:23:50
Dominic,tvui,browseTitles,,,2022-06-03 05:23:50
Dominic,tvui,browseTitles,,,2022-06-03 05:23:42
Dominic,tvui,profilesGate,,,2022-06-03 05:23:42
